Subject,Type,Status,Priority,Assignee,Version,Estimated time,Description,Parent,Follows
[E1-001] Setup Spring Boot,Task,New,High,,Sprint 1,3h,"**Description:**
Créer le projet Spring Boot 3.x avec Java 17 et la structure modulaire de base.

**Critères d'acceptation:**
- [ ] Projet Maven multi-modules initialisé
- [ ] Structure de dossiers conforme à l'architecture
- [ ] Configuration Spring Boot de base fonctionnelle
- [ ] Application démarre sans erreur

**Module:** app, common",,
[E1-002] PostgreSQL et Flyway,Task,New,High,,Sprint 1,3h,"**Description:**
Configurer la connexion PostgreSQL et le système de migrations Flyway.

**Critères d'acceptation:**
- [ ] Connexion PostgreSQL fonctionnelle
- [ ] Flyway configuré et exécute les migrations
- [ ] Script de création de la base initiale
- [ ] Configuration par environnement (dev, prod)

**Module:** config",,[E1-001] Setup Spring Boot
[E1-004] Module Common - Exceptions et Utils,Task,New,High,,Sprint 1,3h,"**Description:**
Créer les classes utilitaires et la gestion globale des exceptions.

**Critères d'acceptation:**
- [ ] Hiérarchie d'exceptions métier (BusinessException, NotFoundException, etc.)
- [ ] GlobalExceptionHandler avec réponses JSON standardisées
- [ ] Classes utilitaires (DateUtils, StringUtils, etc.)
- [ ] DTOs communs (ApiResponse, PageResponse, ErrorResponse)

**Module:** common",,[E1-001] Setup Spring Boot
[E1-005] Configuration OpenAPI / Swagger,Task,New,Medium,,Sprint 1,2h,"**Description:**
Configurer la documentation API avec OpenAPI 3.

**Critères d'acceptation:**
- [ ] Swagger UI accessible (/swagger-ui.html)
- [ ] Documentation auto-générée des endpoints
- [ ] Configuration des security schemes (JWT)
- [ ] Groupes par module

**Module:** config",,[E1-001] Setup Spring Boot
[E1-006] Configuration des Logs structurés,Task,New,Medium,,Sprint 1,2h,"**Description:**
Configurer les logs en format JSON structuré.

**Critères d'acceptation:**
- [ ] Logs en JSON (Logback)
- [ ] Correlation ID pour traçabilité
- [ ] Niveaux de log par environnement
- [ ] Rotation des fichiers de log

**Module:** config",,[E1-001] Setup Spring Boot
[E2-001] Modèle Tenant en base de données,Task,New,High,,Sprint 2,3h,"**Description:**
Créer le modèle de données pour la gestion des tenants.

**Critères d'acceptation:**
- [ ] Entité Tenant (id, name, slug, status, settings, createdAt, updatedAt)
- [ ] Migration Flyway pour table tenants
- [ ] Repository TenantRepository
- [ ] Index sur slug (unique)

**Module:** tenant",,[E1-002] PostgreSQL et Flyway
[E2-005] BaseEntity avec tenant_id,Task,New,High,,Sprint 2,2h,"**Description:**
Créer la classe de base pour toutes les entités multi-tenant.

**Critères d'acceptation:**
- [ ] Classe abstraite TenantAwareEntity
- [ ] Champs: id (UUID), tenantId (UUID), createdAt, updatedAt
- [ ] @PrePersist pour injection automatique du tenantId
- [ ] Validation du tenantId avant persist

**Module:** common",,"[E1-002] PostgreSQL et Flyway,[E1-004] Module Common - Exceptions et Utils"
[E2-002] TenantContext et ThreadLocal,Task,New,High,,Sprint 2,3h,"**Description:**
Implémenter le contexte tenant avec ThreadLocal.

**Critères d'acceptation:**
- [ ] Classe TenantContext avec get/set/clear
- [ ] TenantContextHolder thread-safe
- [ ] Nettoyage automatique en fin de requête
- [ ] Support async (@Async) avec propagation du contexte

**Module:** config",,[E2-001] Modèle Tenant en base de données
[E2-006] Service TenantService,Task,New,High,,Sprint 2,3h,"**Description:**
Créer le service de gestion des tenants.

**Critères d'acceptation:**
- [ ] CRUD complet pour Tenant
- [ ] Validation unicité du slug
- [ ] Activation/désactivation tenant
- [ ] Récupération tenant courant

**Module:** tenant",,[E2-001] Modèle Tenant en base de données
[E2-003] TenantFilter - Résolution par Header,Task,New,High,,Sprint 2,3h,"**Description:**
Créer le filtre HTTP pour résoudre le tenant depuis le header X-Tenant-Id.

**Critères d'acceptation:**
- [ ] Filter intercept toutes les requêtes
- [ ] Lecture header X-Tenant-Id
- [ ] Validation du tenant en base
- [ ] Erreur 400 si tenant manquant/invalide
- [ ] Exclusion des endpoints publics (/auth/**, /actuator/**)

**Module:** config",,[E2-002] TenantContext et ThreadLocal
